"Species","Virus.name.abbreviations","Genome.coverage"
"Kayfunavirus SH3",NA,"Complete genome"
"Kayfunavirus SH4",NA,"Complete genome"
"Kayfunavirus ST31",NA,"Complete genome"
"Kayfunavirus Vec13",NA,"Complete genome"
"Kayfunavirus YZ1",NA,"Complete genome"
"Kayfunavirus ZG49",NA,"Complete genome"
"Minipunavirus MmP1",NA,"Complete genome"
"Minipunavirus MP2",NA,"Complete genome"
"Ningirsuvirus JA10",NA,"Complete genome"
"Ningirsuvirus ninurta",NA,"Complete genome"
"Pektosvirus PP47",NA,"Complete genome"
"Pektosvirus PP81",NA,"Complete genome"
"Pektosvirus PPWS4",NA,"Complete genome"
"Phutvirus PPpW4",NA,"Complete genome"
"Pifdecavirus IBBPF7A",NA,"Complete genome"
"Pifdecavirus Pf10",NA,"Complete genome"
"Pifdecavirus PFP1",NA,"Complete genome"
"Pifdecavirus PhiS1",NA,"Complete genome"
"Pifdecavirus pv22PfluR64PP",NA,"Complete genome"
"Pifdecavirus UNOSLW1",NA,"Complete genome"
"Pijolavirus PspYZU08",NA,"Complete genome"
"Przondovirus 2044307w",NA,"Complete genome"
"Przondovirus BIS33",NA,"Complete genome"
"Przondovirus henu1",NA,"Complete genome"
"Przondovirus IL33",NA,"Complete genome"
"Przondovirus IME205",NA,"Complete genome"
"Przondovirus IME321",NA,"Complete genome"
"Przondovirus K5",NA,"Complete genome"
"Przondovirus K11",NA,"Complete genome"
"Przondovirus K30",NA,"Complete genome"
"Przondovirus K52",NA,"Complete genome"
"Przondovirus K54",NA,"Complete genome"
"Przondovirus KN11",NA,"Complete genome"
"Przondovirus KN31",NA,"Complete genome"
"Przondovirus KN41",NA,"Complete genome"
"Przondovirus Kp1",NA,"Complete genome"
"Przondovirus KP32",NA,"Complete genome"
"Przondovirus KP32i192",NA,"Complete genome"
"Przondovirus KP32i194",NA,"Complete genome"
"Przondovirus KP32i195",NA,"Complete genome"
"Przondovirus KP32i196",NA,"Complete genome"
"Przondovirus kpssk3",NA,"Complete genome"
"Przondovirus KpV289",NA,"Complete genome"
"Przondovirus KpV763",NA,"Complete genome"
"Przondovirus KpV766",NA,"Complete genome"
"Przondovirus KpV767",NA,"Complete genome"
"Przondovirus pharr",NA,"Complete genome"
"Przondovirus PRA33",NA,"Complete genome"
"Przondovirus SHKp152234",NA,"Complete genome"
"Przondovirus SHKp152410",NA,"Complete genome"
"Teetrevirus 2050H2",NA,"Complete genome"
"Teetrevirus AP5",NA,"Complete genome"
"Teetrevirus CFP1",NA,"Complete genome"
"Teetrevirus E2",NA,"Complete genome"
"Teetrevirus E3",NA,"Complete genome"
"Teetrevirus ECA2",NA,"Complete genome"
"Teetrevirus KPN3",NA,"Complete genome"
"Teetrevirus LL2",NA,"Complete genome"
"Teetrevirus SGJL2",NA,"Complete genome"
"Teetrevirus SH1",NA,"Complete genome"
"Teetrevirus SH2",NA,"Complete genome"
"Teetrevirus SM93Y",NA,"Complete genome"
"Teetrevirus T3",NA,"Complete genome"
"Teetrevirus T3Luria",NA,"Complete genome"
"Teetrevirus T7M",NA,"Complete genome"
"Teetrevirus tv10164302",NA,"Complete genome"
"Teetrevirus YeF10",NA,"Complete genome"
"Teetrevirus YeO312",NA,"Complete genome"
"Teseptimavirus 13a",NA,"Complete genome"
"Teseptimavirus C5",NA,"Complete genome"
"Teseptimavirus CICC80001",NA,"Complete genome"
"Teseptimavirus ebrios",NA,"Complete genome"
"Teseptimavirus EG1",NA,"Complete genome"
"Teseptimavirus HZ2R8",NA,"Complete genome"
"Teseptimavirus HZP2",NA,"Complete genome"
"Teseptimavirus IME15",NA,"Complete genome"
"Teseptimavirus IME390",NA,"Complete genome"
"Teseptimavirus N30",NA,"Complete genome"
"Teseptimavirus NCA",NA,"Complete genome"
"Teseptimavirus T7",NA,"Complete genome"
"Teseptimavirus tv3A8767",NA,"Complete genome"
"Teseptimavirus tv64795ec1",NA,"Complete genome"
"Teseptimavirus Vi06",NA,"Complete genome"
"Teseptimavirus YpPY",NA,"Complete genome"
"Teseptimavirus YpsPG",NA,"Complete genome"
"Troedvirus Phi15",NA,"Complete genome"
"Unyawovirus DUPPII",NA,"Complete genome"
"Warsawvirus 3MF5",NA,"Complete genome"
"Aegirvirus SCBP42",NA,"Complete genome"
"Anchaingvirus anchaing","Anchaing","Complete genome"
"Aqualcavirus P14",NA,"Complete genome"
"Ashivirus S45C4",NA,"Complete genome"
"Atuphduovirus atuph02",NA,"Complete genome"
"Atuphduovirus atuph03",NA,"Complete genome"
"Ayakvirus Ap1",NA,"Complete genome"
"Ayaqvirus S45C18",NA,"Complete genome"
"Banchanvirus SS1201",NA,"Complete genome"
"Bifseptvirus andromeda",NA,"Complete genome"
"Bifseptvirus Bf7",NA,"Complete genome"
"Bonnellvirus J865",NA,"Complete genome"
"Bonnellvirus lidtsur",NA,"Complete genome"
"Cheungvirus NATL1A7",NA,"Complete genome"
"Chosvirus KM23C739",NA,"Complete genome"
"Cuernavacavirus RHEph02",NA,"Complete genome"
"Cuernavacavirus RHEph08",NA,"Complete genome"
"Cuernavacavirus RHEph09",NA,"Complete genome"
"Cyclitvirus cyclit",NA,"Complete genome"
"Ermolevavirus PGT2",NA,"Complete genome"
"Ermolevavirus PhiKT",NA,"Complete genome"
"Foturvirus H44",NA,"Complete genome"
"Foussvirus S46C10",NA,"Complete genome"
"Fussvirus S30C28",NA,"Complete genome"
"Gajwadongvirus ECBP5",NA,"Complete genome"
"Gajwadongvirus PP99",NA,"Complete genome"
"Gyeongsanvirus DURPI",NA,"Complete genome"
"Gyeongsanvirus RsoP1EGY",NA,"Complete genome"
"Igirivirus STIP37",NA,"Complete genome"
"Jalkavirus S08C159",NA,"Complete genome"
"Jiaoyazivirus RSB3",NA,"Complete genome"
"Kafavirus SWcelC56",NA,"Complete genome"
"Kajamvirus SRIP1",NA,"Complete genome"
"Kakivirus PS3",NA,"Complete genome"
"Kalppathivirus P26059B",NA,"Complete genome"
"Kelmasvirus RSB2",NA,"Complete genome"
"Kembevirus SCBP2",NA,"Complete genome"
"Krakvirus S39C11",NA,"Complete genome"
"Lauvirus lau218",NA,"Complete genome"
"Limelightvirus limelight",NA,"Complete genome"
"Lingvirus PGSP1",NA,"Complete genome"
"Lirvirus SCBP3",NA,"Complete genome"
"Lullwatervirus lullwater",NA,"Complete genome"
"Maculvirus KF1",NA,"Complete genome"
"Maculvirus KF2",NA,"Complete genome"
"Maculvirus OWB",NA,"Complete genome"
"Maculvirus VP93",NA,"Complete genome"
"Napahaivirus VSW3",NA,"Complete genome"
"Nohivirus S31C1",NA,"Complete genome"
"Oinezvirus S37C6",NA,"Complete genome"
"Paadamvirus RHEph01",NA,"Complete genome"
"Pagavirus S05C849",NA,"Complete genome"
"Pairvirus Lo5R7ANS",NA,"Complete genome"
"Pedosvirus S28C3",NA,"Complete genome"
"Pekhitvirus S04C24",NA,"Complete genome"
"Pelagivirus HTVC019P",NA,"Complete genome"
"Pelagivirus S35C6",NA,"Complete genome"
"Percyvirus percy",NA,"Complete genome"
"Piedvirus IMEDE1",NA,"Complete genome"
"Podivirus S05C243",NA,"Partial genome"
"Pollyceevirus pollyC",NA,"Complete genome"
"Poseidonvirus SCBP4",NA,"Complete genome"
"Powvirus S08C41",NA,"Partial genome"
"Pradovirus f20",NA,"Complete genome"
"Pradovirus f30",NA,"Complete genome"
"Pradovirus prado",NA,"Complete genome"
"Pradovirus XAJ24",NA,"Complete genome"
"Pradovirus Xc10",NA,"Complete genome"
"Qadamvirus SB28",NA,"Complete genome"
"Scottvirus scott",NA,"Complete genome"
"Sednavirus SRIP2",NA,"Complete genome"
"Serkorvirus ITL1",NA,"Complete genome"
"Sieqvirus S42C7",NA,"Complete genome"
"Stompelvirus RPSC1",NA,"Complete genome"
"Stopalavirus S38C3",NA,"Complete genome"
"Stopavirus HTVC011P",NA,"Complete genome"
"Stupnyavirus KM16C193",NA,"Partial genome"
"Tangaroavirus NATL2A133",NA,"Complete genome"
"Tangaroavirus PSSP10",NA,"Complete genome"
"Tangaroavirus tv951510a",NA,"Complete genome"
"Tawavirus JSF7",NA,"Complete genome"
"Tiamatvirus PSSP7",NA,"Complete genome"
"Tiilvirus P60",NA,"Complete genome"
"Tritonvirus PSSP2",NA,"Complete genome"
"Tritonvirus PSSP3",NA,"Complete genome"
"Voetvirus syn5",NA,"Complete genome"
"Votkovvirus S28C10",NA,"Complete genome"
"Waewaevirus limezero",NA,"Complete genome"
"Wuhanvirus PHB01",NA,"Complete genome"
"Wuhanvirus PHB02",NA,"Complete genome"
"Burkholderia virus AH2",NA,"Complete genome"
"Broinstvirus pCB2051A",NA,"Complete genome"
"Cenphatecvirus saba",NA,"Complete genome"
"Chivirus BSPM4",NA,"Complete genome"
"Chivirus chi",NA,"Complete genome"
"Chivirus cv35",NA,"Complete genome"
"Chivirus cv37",NA,"Complete genome"
"Chivirus cv118970sal1",NA,"Complete genome"
"Chivirus ER24","MW355479.1","Complete genome"
"Chivirus FSLSP030",NA,"Complete genome"
"Chivirus FSLSP088",NA,"Complete genome"
"Chivirus iEPS5",NA,"Complete genome"
"Chivirus KFSSE1",NA,"Complete genome"
"Chivirus KpYy141","MN871450.1","Complete genome"
"Chivirus SeWh1","MH791395.1","Complete genome"
"Chivirus siskin",NA,"Complete genome"
"Chivirus SPN19",NA,"Complete genome"
"Chivirus ST101",NA,"Complete genome"
"Chivirus YSD1",NA,"Complete genome"
"Salmonella virus BP12C",NA,"Complete genome"
"Dunedinvirus JS26",NA,"Complete genome"
"Enchivirus Enc34",NA,"Complete genome"
"Fengtaivirus Axp2",NA,"Complete genome"
"Gediminasvirus AchV4",NA,"Complete genome"
"Gwanakrovirus SNUABM08",NA,"Complete genome"
"Jacunavirus JC01",NA,"Complete genome"
"Kokobelvirus kokobel1",NA,"Complete genome"
"Lavrentieva E21",NA,"Complete genome"
"Lavrentieva PM87",NA,"Complete genome"
"Lavrentieva pPM01",NA,"Complete genome"
"Maxdohrnvirus SS2019XI",NA,"Complete genome"
"Burkholderia virus BcepNazgul",NA,"Complete genome"
"Newforgelanevirus MA12",NA,"Complete genome"
"Phobosvirus phobos",NA,"Complete genome"
"Phobosvirus PspYZU01",NA,"Complete genome"
"Redjacvirus piberecoleta",NA,"Complete genome"
"Redjacvirus redjac",NA,"Complete genome"
"Redjacvirus stilesk",NA,"Complete genome"
"Salvovirus bacata",NA,"Complete genome"
"Salvovirus salvo",NA,"Complete genome"
"Xylella virus Sano",NA,"Complete genome"
"Seodaemunguvirus YMC16-01N133",NA,"Complete genome"
"Sessunavirus SESS1",NA,"Complete genome"
"Sharonstreetvirus A18P4",NA,"Complete genome"
"Sharonstreetvirus BUCT551",NA,"Complete genome"
"Sharonstreetvirus LAh7",NA,"Complete genome"
"Yonseivirus N137",NA,"Complete genome"
"Yonseivirus seifer",NA,"Complete genome"
"Yonseivirus soft",NA,"Complete genome"
"Zhonglingvirus SAP012",NA,"Complete genome"
"Carltongylesvirus flopper",NA,"Complete genome"
"Carltongylesvirus GJ1",NA,"Complete genome"
"Carltongylesvirus mangalitsa",NA,"Complete genome"
"Carltongylesvirus ST32",NA,"Complete genome"
"Faunusvirus faunus",NA,"Complete genome"
"Loessnervirus SSEM1",NA,"Complete genome"
"Loessnervirus Y2",NA,"Complete genome"
"Myducvirus myduc",NA,"Complete genome"
"Sabourvirus sv4HA13",NA,"Complete genome"
"Suwonvirus PM1",NA,"Complete genome"
"Suwonvirus PP101",NA,"Complete genome"
"Pahsextavirus pAh6C",NA,"Complete genome"
"Yushanvirus Spp001",NA,"Complete genome"
"Yushanvirus SppYZU05",NA,"Complete genome"
"Cetovirus ceto",NA,"Complete genome"
"Jesfedecavirus JSF10",NA,"Complete genome"
"Jesfedecavirus JSF12",NA,"Complete genome"
"Jesfedecavirus phi3",NA,"Complete genome"
"Thalassavirus achelous",NA,"Complete genome"
"Thalassavirus AG74",NA,"Complete genome"
"Thalassavirus athena",NA,"Complete genome"
"Thalassavirus bennett",NA,"Complete genome"
"Thalassavirus brizo",NA,"Complete genome"
"Thalassavirus chester",NA,"Complete genome"
"Thalassavirus cody",NA,"Complete genome"
"Thalassavirus gary",NA,"Complete genome"
"Thalassavirus pontus",NA,"Complete genome"
"Thalassavirus quinn",NA,"Complete genome"
"Thalassavirus river4",NA,"Complete genome"
"Thalassavirus thalassa",NA,"Complete genome"
"Vipunavirus pVp1",NA,"Complete genome"
"Epseptimavirus 100268sal2",NA,"Complete genome"
"Epseptimavirus 118970sal2",NA,"Complete genome"
"Epseptimavirus atrejo",NA,"Complete genome"
"Epseptimavirus bastian",NA,"Complete genome"
"Epseptimavirus bombadil",NA,"Complete genome"
"Epseptimavirus EPS7",NA,"Complete genome"
"Epseptimavirus ev23",NA,"Complete genome"
"Epseptimavirus ev119",NA,"Complete genome"
"Epseptimavirus ev123",NA,"Complete genome"
"Epseptimavirus ev129",NA,"Complete genome"
"Epseptimavirus ev329",NA,"Complete genome"
"Epseptimavirus faergetype",NA,"Complete genome"
"Epseptimavirus fuchur",NA,"Complete genome"
"Epseptimavirus LVR16A",NA,"Complete genome"
"Epseptimavirus mar003J3",NA,"Complete genome"
"Epseptimavirus oselot",NA,"Complete genome"
"Epseptimavirus OSYSTA",NA,"Complete genome"
"Epseptimavirus rokbiter",NA,"Complete genome"
"Epseptimavirus S113",NA,"Complete genome"
"Epseptimavirus S114",NA,"Complete genome"
"Epseptimavirus S116",NA,"Complete genome"
"Epseptimavirus S124",NA,"Complete genome"
"Epseptimavirus S126",NA,"Complete genome"
"Epseptimavirus S132",NA,"Complete genome"
"Epseptimavirus S133",NA,"Complete genome"
"Epseptimavirus S147",NA,"Complete genome"
"Epseptimavirus saus132",NA,"Complete genome"
"Epseptimavirus SB13",NA,"Complete genome"
"Epseptimavirus SE24",NA,"Complete genome"
"Epseptimavirus seafire",NA,"Complete genome"
"Epseptimavirus sepoy",NA,"Complete genome"
"Epseptimavirus SH9",NA,"Complete genome"
"Epseptimavirus STG2",NA,"Complete genome"
"Epseptimavirus stitch",NA,"Complete genome"
"Epseptimavirus Sw2",NA,"Complete genome"
"Salmonella virus 329",NA,"Complete genome"
"Haartmanvirus R201",NA,"Complete genome"
"Tequintavirus AKFV33",NA,"Complete genome"
"Tequintavirus APCEc03",NA,"Complete genome"
"Tequintavirus BF23",NA,"Partial genome"
"Tequintavirus chee24",NA,"Complete genome"
"Tequintavirus DT5712",NA,"Complete genome"
"Tequintavirus DT57C",NA,"Complete genome"
"Tequintavirus FFH1",NA,"Complete genome"
"Tequintavirus fp01",NA,"Complete genome"
"Tequintavirus gostya9",NA,"Complete genome"
"Tequintavirus H8",NA,"Complete genome"
"Tequintavirus HdH2",NA,"Complete genome"
"Tequintavirus L6jm",NA,"Complete genome"
"Tequintavirus LLS",NA,"Complete genome"
"Tequintavirus mar004NP2",NA,"Complete genome"
"Tequintavirus NBEco001",NA,"Complete genome"
"Tequintavirus NBEco002",NA,"Complete genome"
"Tequintavirus NBSal003",NA,"Complete genome"
"Tequintavirus NBSal005",NA,"Complete genome"
"Tequintavirus NR01",NA,"Complete genome"
"Tequintavirus oldekolle",NA,"Complete genome"
"Tequintavirus OSYSP",NA,"Complete genome"
"Tequintavirus S131",NA,"Complete genome"
"Tequintavirus SE11",NA,"Complete genome"
"Tequintavirus shivani",NA,"Complete genome"
"Tequintavirus SHSML45",NA,"Complete genome"
"Tequintavirus slur09",NA,"Complete genome"
"Tequintavirus SP01",NA,"Complete genome"
"Tequintavirus SP3",NA,"Partial genome"
"Tequintavirus SP15",NA,"Complete genome"
"Tequintavirus SPC35",NA,"Complete genome"
"Tequintavirus SSP1",NA,"Complete genome"
"Tequintavirus T5",NA,"Complete genome"
"Tequintavirus Th1",NA,"Complete genome"
"Tequintavirus VEc33",NA,"Complete genome"
"Tequintavirus VSe12",NA,"Complete genome"
"Hongcheonvirus DUPPV",NA,"Complete genome"
"Myunavirus My1",NA,"Complete genome"
"Novosibvirus PM135",NA,"Complete genome"
"Novosibvirus stubb",NA,"Complete genome"
"Pogseptimavirus PG07",NA,"Complete genome"
"Pogseptimavirus VspSw1",NA,"Complete genome"
"Priunavirus PR1",NA,"Complete genome"
"Priunavirus PSTCR5",NA,"Complete genome"
"Shenzhenvirus AhSzq1",NA,"Partial genome"
"Shenzhenvirus AhSzw1",NA,"Complete genome"
"Sugarlandvirus IME260",NA,"Complete genome"
"Sugarlandvirus sugarland",NA,"Complete genome"
"Christensenvirus IME542",NA,"Complete genome"
"Guelphvirus ACGM12",NA,"Complete genome"
"Guelphvirus EC3a",NA,"Complete genome"
"Loudonvirus DTL",NA,"Complete genome"
"Rtpvirus IME253",NA,"Complete genome"
"Rtpvirus Rtp",NA,"Complete genome"
"Veterinaerplatzvirus vv12210I",NA,"Complete genome"
"Eastlansingvirus Sf12",NA,"Complete genome"
"Lindendrivevirus EB49",NA,"Complete genome"
"Rogunavirus AHP42",NA,"Complete genome"
"Rogunavirus AHS24",NA,"Complete genome"
"Rogunavirus AKS96",NA,"Complete genome"
"Rogunavirus C119",NA,"Complete genome"
"Rogunavirus E41c",NA,"Complete genome"
"Rogunavirus Jk06",NA,"Complete genome"
"Rogunavirus JLA23",NA,"Complete genome"
"Rogunavirus KP26",NA,"Complete genome"
"Rogunavirus rogue1",NA,"Complete genome"
"Wilsonroadvirus Sd1",NA,"Complete genome"
"Changchunvirus PHB17",NA,"Complete genome"
"Changchunvirus W011D",NA,"Complete genome"
"Hanrivervirus aalborv",NA,"Complete genome"
"Hanrivervirus aaroes",NA,"Complete genome"
"Hanrivervirus damhaus",NA,"Complete genome"
"Hanrivervirus egaa",NA,"Complete genome"
"Hanrivervirus G292",NA,"Complete genome"
"Hanrivervirus grams",NA,"Complete genome"
"Hanrivervirus haarsle",NA,"Complete genome"
"Hanrivervirus henu8",NA,"Complete genome"
"Hanrivervirus herni",NA,"Complete genome"
"Hanrivervirus hv2019SD1",NA,"Complete genome"
"Hanrivervirus PGN590",NA,"Complete genome"
"Hanrivervirus pSf1",NA,"Complete genome"
"Hanrivervirus slyngel",NA,"Complete genome"
"Hanrivervirus vojen",NA,"Complete genome"
"Henuseptimavirus henu7",NA,"Complete genome"
"Tlsvirus DK2017",NA,"Complete genome"
"Tlsvirus LL5",NA,"Complete genome"
"Tlsvirus PHB07",NA,"Complete genome"
"Tlsvirus phSE2",NA,"Complete genome"
"Tlsvirus sazh",NA,"Complete genome"
"Tlsvirus SP126",NA,"Partial genome"
"Tlsvirus stevie",NA,"Complete genome"
"Tlsvirus TLS",NA,"Complete genome"
"Tlsvirus tv36",NA,"Complete genome"
"Tlsvirus YSP2",NA,"Complete genome"
"Warwickvirus atuna",NA,"Complete genome"
"Warwickvirus JK16",NA,"Complete genome"
"Warwickvirus mar001J1",NA,"Complete genome"
"Warwickvirus SECphi27",NA,"Complete genome"
"Warwickvirus SLUR29",NA,"Complete genome"
"Warwickvirus swan01",NA,"Complete genome"
"Warwickvirus tiwna",NA,"Complete genome"
"Warwickvirus tonijn",NA,"Complete genome"
"Warwickvirus tonn",NA,"Complete genome"
"Warwickvirus tonnikala",NA,"Complete genome"
"Warwickvirus tunus",NA,"Complete genome"
"Warwickvirus wv95",NA,"Complete genome"
"Badaguanvirus IME347",NA,"Complete genome"
"Sertoctavirus SRT8",NA,"Complete genome"
"Tunavirus ADB2",NA,"Complete genome"
"Tunavirus BIFF",NA,"Complete genome"
"Tunavirus DELF2",NA,"Complete genome"
"Tunavirus IME18",NA,"Complete genome"
"Tunavirus ISF001",NA,"Complete genome"
"Tunavirus ISF002",NA,"Complete genome"
"Tunavirus JMPW1",NA,"Complete genome"
"Tunavirus JMPW2",NA,"Complete genome"
"Tunavirus PSf2",NA,"Complete genome"
"Tunavirus Sfin1",NA,"Complete genome"
"Tunavirus Sfin3",NA,"Complete genome"
"Tunavirus SH2",NA,"Complete genome"
"Tunavirus SH6",NA,"Complete genome"
"Tunavirus Shfl1",NA,"Complete genome"
"Tunavirus T1",NA,"Complete genome"
"Tunavirus tv008",NA,"Complete genome"
"Eclunavirus EcL1",NA,"Complete genome"
"Hicfunavirus HCF1",NA,"Complete genome"
"Jhansiroadvirus gwaliVC1",NA,"Complete genome"
"Kyungwonvirus CS01",NA,"Complete genome"
"Kyungwonvirus Esp29491",NA,"Complete genome"
"Nouzillyvirus ESCO41",NA,"Complete genome"
"Sauletekiovirus AAS23",NA,"Complete genome"
"Vilniusvirus NBD2",NA,"Complete genome"
"Webervirus alina",NA,"Complete genome"
"Webervirus call",NA,"Complete genome"
"Webervirus domnhall",NA,"Complete genome"
"Webervirus F20",NA,"Partial genome"
"Webervirus FZ10",NA,"Complete genome"
"Webervirus GHK3",NA,"Complete genome"
"Webervirus IMGroot",NA,"Complete genome"
"Webervirus JY917",NA,"Complete genome"
"Webervirus KL",NA,"Complete genome"
"Webervirus KLPN1",NA,"Complete genome"
"Webervirus KLPPOU149",NA,"Complete genome"
"Webervirus KOX1",NA,"Complete genome"
"Webervirus KP36",NA,"Complete genome"
"Webervirus KP1801",NA,"Complete genome"
"Webervirus KpCol1",NA,"Complete genome"
"Webervirus KpKT21phi1",NA,"Complete genome"
"Webervirus KpNIH2",NA,"Complete genome"
"Webervirus KpV522",NA,"Complete genome"
"Webervirus mezzogao",NA,"Complete genome"
"Webervirus N141",NA,"Complete genome"
"Webervirus NJS1",NA,"Complete genome"
"Webervirus PKP126",NA,"Complete genome"
"Webervirus segescirculi",NA,"Complete genome"
"Webervirus shelby",NA,"Complete genome"
"Webervirus sin4",NA,"Complete genome"
"Webervirus skenny",NA,"Complete genome"
"Webervirus sushi",NA,"Complete genome"
"Webervirus sweeny",NA,"Complete genome"
"Webervirus TAH8",NA,"Complete genome"
"Webervirus TSK1",NA,"Complete genome"
"Webervirus wv13",NA,"Complete genome"
"Webervirus wv1513",NA,"Complete genome"
"Ingelinevirus ingeline","Ingeline_1","Complete genome"
"Labanvirus laban",NA,"Complete genome"
"Unahavirus uv1H",NA,"Complete genome"
"Unahavirus uv23T",NA,"Complete genome"
"Unahavirus uv2A",NA,"Complete genome"
"Unahavirus uv6H",NA,"Complete genome"
"Freyavirus danklef","Danklef_1","Complete genome"
"Freyavirus freya","Freya_1","Complete genome"
"Capvunavirus CpV1",NA,"Partial genome"
"Gregsiragusavirus CPD2",NA,"Complete genome"
"Gregsiragusavirus CPS1",NA,"Complete genome"
"Gregsiragusavirus phi24R",NA,"Complete genome"
"Brucesealvirus CP7R",NA,"Complete genome"
"Brucesealvirus CPS2",NA,"Complete genome"
"Brucesealvirus CPV4",NA,"Complete genome"
"Brucesealvirus ZP2",NA,"Complete genome"
"Susfortunavirus susfortuna",NA,"Complete genome"
"Leefvirus Leef","Leef_1","Complete genome"
"Agatevirus agate",NA,"Complete genome"
"Agatevirus bobb",NA,"Complete genome"
"Agatevirus Bp8pC",NA,"Complete genome"
